id,Name,How to,Form check,Movement plane id,Muscles worked (primary),Muscles worked (secondary),Equipment,YT video,"Excercise type (reps, reps x weight, timed, timed x weight)",workout section
back_extension_hyperextension,Back Extension (Hyperextension),"Set the pad just below your hip bones and hook your heels under the rollers. Fold at the hips until your torso hangs down, then raise until your body forms a straight line and stop there.","Pad below the hip bones · Stop level, do not arch past straight · Bend at the hips not the spine",hinge,Lower Back,Glutes; Adductors,Bodyweight,https://www.youtube.com/watch?v=gLT-WLH84B4,reps,strength
back_extension_machine,Back Extension (Machine),"Sit in the machine with the pad across your upper back and your feet planted. Press back by extending the spine and hips until your torso is upright, then return under control without letting the weight slam.","Set the pad across the upper back · Stop at upright · Return slowly, do not let the stack drop",hinge,Lower Back,Glutes; Adductors,Machine,https://www.youtube.com/watch?v=HAS0dQ8O3-U,reps x weight,strength
back_extension_weighted_hyperextension,Back Extension (Weighted Hyperextension),"Hold a plate against your chest or behind your head on the hyperextension bench. Fold at the hips and raise back to a straight line, keeping the same range you use unloaded.","Hold the plate close to the chest · Stop level, do not arch · Add load only once the range is clean",hinge,Lower Back,Glutes; Adductors,Bodyweight,https://www.youtube.com/watch?v=thqpSD-1kUM,reps x weight,strength
ball_slams,Ball Slams,"Stand with the slam ball at your feet and lift it overhead with straight arms. Drive it into the floor as hard as you can, hinging at the hips, then squat to pick it up and repeat.","Hinge as you slam, do not fold the back · Follow the ball down · Squat to pick it up, do not round over",power_plyo,Full Body,Glutes; Hamstrings; Calves,Bodyweight,https://www.youtube.com/watch?v=DMrxbUgoZTg,reps,strength
band_pullaparts,Band Pullaparts,"Hold a band with both hands, arms extended straight out in front at shoulder height. Keeping your elbows locked, pull the band apart by driving your hands out to your sides until it meets your chest. Return slowly to the front.","Keep elbows locked, pull to your chest · Stay tall, don't shrug up",iso_shoulder,Shoulders,Traps,Resistance band,https://www.youtube.com/watch?v=smSSXITNpCI,reps,strength
bar_pullover,Bar Pullover,"Pull hard until the bar reaches the waist, then lean the shoulders forward and rotate over the bar into a straight arm support.",Pull to the waist before rotating · Lean the shoulders over early · Keep the bar close to the body,vertical_pull,Lats,Biceps; Upper Back; Forearms,Pull-up bar,https://www.youtube.com/watch?v=oED8alojlhc,reps,strength
battle_ropes,Battle Ropes,"Anchor a heavy rope at its center and hold one end in each hand with arms at your sides. Drop into a slight athletic quarter-squat and brace your core. Rapidly raise and lower each arm to drive alternating waves down the rope, keeping them fast and continuous.","Sit into a quarter-squat · Drive fast, tall waves · Keep both arms moving evenly",cardio,Cardio,,Battle ropes,https://www.youtube.com/watch?v=DfuvSn73Up4,timed,warmup/cooldown
behind_the_back_bicep_wrist_curl_barbell,Behind the Back Bicep Wrist Curl (Barbell),"Stand upright holding a barbell behind your back with an overhand grip and let it hang at your fingertips. Curl the bar up by closing the fingers and flexing the wrists, then lower it back to the fingertips.",Let the bar roll to the fingertips · Move only the wrists · Keep the elbows still against your sides,iso_forearm,Forearms,Biceps,Barbell,https://www.youtube.com/watch?v=oNdAuKbeKnI,reps x weight,strength
bench_dip,Bench Dip,"Sit on a bench with the hands beside the hips and the feet on the floor in front of you. Slide off the edge and lower until the elbows bend to a right angle, then press back up.","Elbows point back, not out · Keep the hips close to the bench · Stop at ninety degrees",vertical_push,Triceps,Chest; Shoulders,Dip bars,https://www.youtube.com/watch?v=larQGD02ndE,reps,strength
bench_press_barbell,Bench Press (Barbell),"Lie on a flat bench and take a grip that puts the forearms vertical at the bottom. Unrack and hold the bar over the chest with locked arms. Lower under control until it touches mid-chest, pause, then press back up and squeeze the chest at the top.",Forearms roughly vertical at the bottom · lower about twice as slowly as you press · drive from the chest · keep the wrists stacked over the elbows,horizontal_push,Chest,Triceps; Shoulders,Barbell,https://www.youtube.com/watch?v=CjHIKDQ4RQo,reps x weight,strength
bench_press_cable,Bench Press (Cable),"Lie on a bench set between two low cable pulleys and take a handle in each hand at chest height. Press both handles up and slightly together until the arms lock, then lower to a stretch at chest level.",Set the pulleys level with your chest · Press up and slightly in · Keep tension on the cables at the bottom,horizontal_push,Chest,Triceps; Shoulders,Cable machine,https://www.youtube.com/watch?v=114hsj2FFuk,reps x weight,strength
bench_press_dumbbell,Bench Press (Dumbbell),"Lie back on a flat bench with a dumbbell in each hand at chest height, palms facing forward. Press both dumbbells up until the arms are straight, then lower until your elbows sit just below the bench line.",Wrists stacked over the elbows · Lower to a deep but pain free stretch · Keep the shoulder blades pinned back,horizontal_push,Chest,Triceps; Shoulders,Dumbbell,https://www.youtube.com/watch?v=YQ2s_Y7g5Qk,reps x weight,strength
bench_press_smith_machine,Bench Press (Smith Machine),"Set the seat so the handles line up with the mid-chest. Press the handles forward until the arms are extended, then return under control to a stretch.","Adjust the seat so handles meet the mid-chest · keep the back against the pad · don't let the shoulders roll forward · control the return, don't let it slam",horizontal_push,Chest,Triceps; Shoulders,Smith machine,https://www.youtube.com/watch?v=2TBOciYPzkk,reps x weight,strength
bench_press_close_grip_barbell,Bench Press - Close Grip (Barbell),"Lie back on a flat bench and grip the bar at about shoulder width. Unrack it and hold it over your chest with arms locked. Lower the bar slowly to your lower chest with elbows tucked close to your sides, then press it back up until your arms lock out.",Grip about shoulder width · Tuck elbows to your sides · Push through your triceps,iso_triceps,Triceps,Shoulders,Barbell,https://www.youtube.com/watch?v=DzA2xZhDGeo,reps x weight,strength
bench_press_wide_grip_barbell,Bench Press - Wide Grip (Barbell),"Lie on a flat bench with feet planted. Take a wide, overhand grip a few inches outside shoulder width and unrack the bar over your chest. Lower it to mid-chest with elbows flared out, then press back up to full lockout.",Grip a hand-width outside shoulders · Pin your shoulder blades back · Flare your elbows out · Lower to mid-chest,horizontal_push,Chest,Triceps; Shoulders,Barbell,https://www.youtube.com/watch?v=EeE3f4VWFDo,reps x weight,strength
bent_over_row_band,Bent Over Row (Band),"Stand on the middle of the band and hinge forward with a flat back, holding one end in each hand. Pull the handles to your waist by driving the elbows back, then straighten the arms under control.",Hinge until the torso is near parallel · Pull to the waist not the chest · Squeeze the shoulder blades together,horizontal_pull,Upper Back,Biceps; Shoulders; Forearms,Resistance band,https://www.youtube.com/watch?v=ebVOodMhdxo,reps,strength
bent_over_row_barbell,Bent Over Row (Barbell),"Hinge forward with a flat back until your torso is close to parallel and let the barbell hang at arms length. Row the bar to your lower ribs by pulling the elbows back, then lower it under control.",Flat back the whole set · Pull to the lower ribs · Do not jerk the torso upright to move the bar,horizontal_pull,Upper Back,Biceps; Shoulders; Forearms,Barbell,https://www.youtube.com/watch?v=6FZHJGzMFEc,reps x weight,strength
bent_over_row_dumbbell,Bent Over Row (Dumbbell),"Hold a dumbbell in each hand and hinge forward at the waist, knees slightly bent, back flat until your torso is almost parallel to the floor. Let the dumbbells hang at arm's length. Row them up to your sides, squeezing your back, then lower under control.","Hinge to near parallel, back flat · Row the bells up to your sides",horizontal_pull,Upper Back,Biceps; Shoulders; Forearms,Dumbbell,https://www.youtube.com/watch?v=6gvmcqr226U,reps x weight,strength
bicep_curl_barbell,Bicep Curl (Barbell),"Stand tall holding the bar with an underhand shoulder-width grip and elbows pinned to the sides. Curl to the shoulders by contracting the biceps, then lower under control.",Elbows stay pinned at the sides · no swinging or hip drive · squeeze at the top · lower slowly to a full stretch,iso_biceps,Biceps,Forearms,Barbell,https://www.youtube.com/watch?v=N5x5M1x1Gd0,reps x weight,strength
bicep_curl_cable,Bicep Curl (Cable),"Stand facing a low pulley with a straight bar or handle and your elbows tucked at your sides. Curl the handle up to shoulder height, then lower it slowly against the constant pull of the cable.",Elbows pinned at your sides · No swinging back · Fight the cable on the way down,iso_biceps,Biceps,Forearms,Cable machine,https://www.youtube.com/watch?v=s0QjT0daqAc,reps x weight,strength
bicep_curl_dumbbell,Bicep Curl (Dumbbell),"Stand upright with a dumbbell in each hand, arms at your sides and palms facing your thighs. Curl one dumbbell up while rotating your palm to face up, keeping the upper arm still. Lower it and repeat with the other arm.",Rotate palm up as you lift · Keep upper arms fixed · Alternate arms each rep,iso_biceps,Biceps,Forearms,Dumbbell,https://www.youtube.com/watch?v=6DeLZ6cbgWQ,reps x weight,strength
bicep_curl_machine,Bicep Curl (Machine),"Sit with your upper arms flat on the pad and grip the handles with your arms nearly straight. Curl the handles up toward your shoulders, then lower until the arms are almost straight again.",Upper arms flat on the pad throughout · Stop just short of locking out · Lower slower than you lift,iso_biceps,Biceps,Forearms,Machine,https://www.youtube.com/watch?v=1WpxeVsj_gw,reps x weight,strength
bicep_curl_suspension,Bicep Curl (Suspension),"Hold the handles with palms up and walk your feet forward so your body leans back. Curl your body up by bending only at the elbows, keeping the upper arms high and still, then lower under control.",Upper arms stay up and fixed · Body stays in one straight line · Walk the feet back to make it easier,iso_biceps,Biceps,Forearms,Suspension trainer,https://www.youtube.com/watch?v=T2jJ3WbTqfw,reps,strength
bicycle_crunch,Bicycle Crunch,"Lie on your back with hands lightly beside your head and lift your shoulders off the floor. Bring one knee toward your chest as you rotate the opposite elbow to meet it. Switch sides in a pedaling motion, extending the free leg out straight.",Twist elbow to opposite knee · Don't yank the neck · Fully straighten the free leg,core_rotation,Abdominals,Lower Back,Bodyweight,https://www.youtube.com/watch?v=wnuLak2onoA,reps,strength
bicycle_crunch_raised_legs,Bicycle Crunch Raised Legs,"Lie on your back with both legs raised and bent at ninety degrees and your hands light beside your head. Bring one elbow toward the opposite knee while the other leg extends, then switch sides.",Do not pull on the neck · Rotate through the ribs not the elbows · Keep the lower back flat,core_rotation,Abdominals,Lower Back,Bodyweight,https://www.youtube.com/watch?v=6eQQNAeknJY,reps,strength
bird_dog,Bird Dog,"Start on hands and knees with a flat back. Reach one arm forward and the opposite leg back until both are level with your torso, hold briefly, then return and switch sides.","Hips stay square to the floor · Reach long rather than lifting high · Keep the back flat, no sagging",hinge,Glutes,Hamstrings; Lower Back; Adductors,Bodyweight,https://www.youtube.com/watch?v=ZdAHe9_HeEw,reps,strength
box_jump,Box Jump,"Stand a short step from the box with your feet hip width. Dip and swing the arms, jump up and land softly on the box with both feet flat and knees bent, then step down one foot at a time.","Land soft with the whole foot on the box · Step down, do not jump down · Pick a height you can land quietly",power_plyo,Quadriceps,Glutes; Hamstrings; Calves,Plyometric box or bench,https://www.youtube.com/watch?v=k7dmYdknbac,reps,strength
box_squat_barbell,Box Squat (Barbell),"Set a flat bench or box behind you and unrack a barbell across your upper back. Stand just in front of the bench with feet shoulder-width. Push your hips back and squat down until you lightly touch the bench, then drive through your heels to stand.","Push the hips back to the bench · Touch light, don't crash down · Drive up off the bench",squat,Quadriceps,Glutes; Hamstrings; Calves,Barbell,https://www.youtube.com/watch?v=rMEPHwNhQfo,reps x weight,strength
boxing,Boxing,"Work rounds on a bag or on pads, throwing combinations while keeping your hands up and your feet moving. Keep the pace continuous so the round stays a cardio effort rather than a set of singles.",Hands back to the chin after every punch · Turn the hips into the shot · Keep moving between combinations,cardio,Cardio,,Cardio equipment or open space,https://www.youtube.com/watch?v=0_UWUjpkz8c,timed,warmup/cooldown
bulgarian_split_squat,Bulgarian Split Squat,"Stand a stride in front of a bench and rest the top of the rear foot on it. Lower until the front thigh is parallel to the floor, then drive back up through the front heel.",Front shin near vertical · Rear foot on the bench · Drive through the front heel,squat,Quadriceps,Glutes; Hamstrings; Calves,Bodyweight,https://www.youtube.com/watch?v=TEXl2b3__S4,reps,strength
burpee,Burpee,"From standing, drop your hands to the floor and shoot your feet back into a push up position, then lower your chest to the ground. Jump the feet back under you and stand up into a jump with the hands overhead.",Chest touches the floor at the bottom · Keep the hips from sagging in the plank · Finish with a full jump,power_plyo,Full Body,Glutes; Hamstrings; Calves,Bodyweight,https://www.youtube.com/watch?v=CTV6_A56iD8,reps,strength
burpee_over_the_bar,Burpee Over the Bar,"Perform a burpee beside a loaded barbell, dropping your chest to the floor. Stand and jump laterally over the bar with both feet, then turn and repeat facing the other way.",Chest to the floor each rep · Clear the bar with both feet · Land soft with bent knees,power_plyo,Full Body,Glutes; Hamstrings; Calves,Bodyweight,https://www.youtube.com/watch?v=D7cqOflDv9s,reps,strength
butterfly_pec_deck,Butterfly (Pec Deck),"Sit in the pec deck with your back flat against the pad and your forearms or hands on the pads at chest height. Squeeze the pads together in front of your chest, then let them open slowly to a stretch.","Back stays flat on the pad · Squeeze the chest, not the hands · Open slowly to a stretch, do not bounce",iso_chest,Chest,Shoulders; Biceps,Bodyweight,https://www.youtube.com/watch?v=aAhOVbIGYfE,reps,strength
cable_core_palloff_press,Cable Core Palloff Press,"Stand side on to a cable set at chest height and hold the handle at your sternum with both hands. Press it straight out in front of you and resist the pull that wants to twist you, then bring it back.","Resist the twist, do not rotate · Stay square to the front · Brace the abs before pressing out",core_flexion,Abdominals,Other,Cable machine,https://www.youtube.com/watch?v=smgGK5ChZXk,reps x weight,strength
cable_crunch,Cable Crunch,"Kneel below a high pulley holding the rope by the head. Crunch down by flexing the spine and contracting the abs, bringing the elbows toward the thighs, then return under control.","Round the spine, flex, don't just hip-fold · keep the hips fixed · drive with the abs, not the arms · don't go so heavy the lower back takes over",core_flexion,Abdominals,Other,Cable machine,https://www.youtube.com/watch?v=NkrCjGwuY0Q,reps x weight,strength
cable_fly_crossovers,Cable Fly Crossovers,"Stand between two high pulleys with a handle in each hand and one foot forward. Sweep the handles down and across until they cross in front of your hips, then open the arms back to a chest stretch.",Soft bend in the elbows throughout · Cross the hands at the bottom · Lead with the elbows not the hands,iso_chest,Chest,Shoulders; Biceps,Cable machine,https://www.youtube.com/watch?v=hhruLxo9yZU,reps x weight,strength
cable_pull_through,Cable Pull Through,"Face away from a low pulley with the rope passed between your legs and take a step forward. Hinge back until you feel the hamstrings stretch, then drive the hips forward to stand tall and squeeze the glutes.","Drive with the hips, do not pull with the arms · Flat back through the hinge · Finish standing tall, no lean back",hinge,Glutes,Hamstrings; Lower Back; Adductors,Cable machine,https://www.youtube.com/watch?v=NEDrQPoITMc,reps x weight,strength
cable_twist_down_to_up,Cable Twist (Down to up),"Set the cable low and stand side on holding the handle with both hands near your outside hip. Rotate up and across your body to shoulder height, turning through the torso and pivoting the back foot.","Turn through the ribs, not just the arms · Pivot the back foot · Keep the arms fairly straight",core_rotation,Abdominals,Lower Back,Cable machine,https://www.youtube.com/watch?v=FojCgCTXi0w,reps x weight,strength
cable_twist_up_to_down,Cable Twist (Up to down),"Set the cable high and stand side on holding the handle with both hands above one shoulder. Pull down and across your body toward the opposite hip, rotating the torso and pivoting the back foot.","Rotate the torso, do not just pull the arms · Pivot the back foot · Control the return, no snapping back",core_rotation,Abdominals,Lower Back,Cable machine,https://www.youtube.com/watch?v=_mHR9ewsHZg,reps x weight,strength
calf_extension_machine,Calf Extension (Machine),"Position the balls of your feet on the platform with the pad on your shoulders or thighs. Press up onto your toes as high as you can, then lower the heels below the platform for a full stretch.",Balls of the feet on the edge · Full stretch at the bottom · Pause at the top rather than bouncing,iso_calf,Calves,,Machine,https://www.youtube.com/watch?v=6Yl5V5L7gIQ,reps x weight,strength
calf_press_machine,Calf Press (Machine),"Sit in the leg press and place just the balls of your feet on the lower edge of the platform, heels off. Release the safety bars and straighten your legs. Press the platform away by extending your ankles and squeezing the calves, then let your toes come back.","Balls of feet on the platform edge · Full stretch down, press onto the toes",iso_calf,Calves,,Machine,https://www.youtube.com/watch?v=mcX6aLes1IY,reps x weight,strength
chest_dip,Chest Dip,"Support yourself on parallel bars with straight arms and a tall chest. Lower until the shoulders drop to elbow height, then press back up to a locked out top position.",Lower until shoulders reach elbow height · Elbows close to the body · Lock out at the top,vertical_push,Chest,Triceps; Shoulders,Dip bars,https://www.youtube.com/watch?v=2HYAeF6o7Bc,reps,strength
chest_dip_assisted,Chest Dip (Assisted),"Kneel on the assist pad or loop a band under your knees on the parallel bars and lean your chest forward. Lower until your shoulders reach elbow height, then press back to straight arms.",Lean the chest forward the whole rep · Lower to shoulders at elbow height · Use only as much assistance as you need,vertical_push,Chest,Triceps; Shoulders,Dip bars,https://www.youtube.com/watch?v=TnEFYtnr0MU,reps,strength
chest_dip_eccentric,Chest Dip (Eccentric),"Jump or step to the top of the parallel bars with straight arms. Lower yourself as slowly as you can until the shoulders reach elbow height, then step off and reset.",Three to five seconds down · Elbows stay close to the body · Step off and reset each rep,vertical_push,Triceps,Chest; Shoulders,Dip bars,https://www.youtube.com/watch?v=u-N3fPf_hhg,reps,strength
chest_dip_weighted,Chest Dip (Weighted),"Attach additional load with a dip belt or vest. Lower through a controlled full range, then press to locked arms without losing shoulder position.",Record added load only · Full depth · Elbows track back · Full lockout,vertical_push,Chest,Triceps; Shoulders,Dip bars; weight belt or vest,https://www.youtube.com/watch?v=UZ_kEpmACZ4,reps x weight,strength
chest_fly_band,Chest Fly (Band),"Anchor the band behind you at chest height and hold one end in each hand with the arms out wide. Bring your hands together in front of your chest with a soft elbow bend, then open slowly back to a stretch.",Soft bend in the elbows throughout · Bring the hands together in front of the chest · Step forward for more tension,iso_chest,Chest,Shoulders; Biceps,Resistance band,https://www.youtube.com/watch?v=g9C-MPWIpmA,reps,strength
chest_fly_dumbbell,Chest Fly (Dumbbell),"Lie on a flat bench holding a dumbbell in each hand above your chest with a soft elbow bend. Open the arms out in a wide arc until you feel a chest stretch, then bring them back together over your chest.",Keep the elbow angle fixed · Open only as far as is comfortable · Go lighter than you would for a press,iso_chest,Chest,Shoulders; Biceps,Dumbbell,https://www.youtube.com/watch?v=Nhvz9EzdJ4U,reps x weight,strength
chest_fly_machine,Chest Fly (Machine),"Sit with your back flat against the pad and grip the handles with your arms out to the sides and elbows slightly bent. Bring the handles together in front of your chest, then open slowly back to a stretch.",Back flat on the pad · Elbows stay at the same angle · Pause and squeeze at the front,iso_chest,Chest,Shoulders; Biceps,Machine,https://www.youtube.com/watch?v=eGjt4lk6g34,reps x weight,strength
chest_fly_suspension,Chest Fly (Suspension),"Hold a handle in each hand and lean forward with your body straight and arms in front of your chest. Open the arms out to the sides as you lower, then squeeze them back together to press yourself upright.",Body stays in one straight line · Open only as wide as you can control · Walk the feet back to make it easier,iso_chest,Chest,Shoulders; Biceps,Suspension trainer,https://www.youtube.com/watch?v=A0ptzi0tfM4,reps,strength
chest_press_band,Chest Press (Band),"Anchor the band behind you at chest height and hold an end in each hand beside your chest. Press both hands forward until your arms are straight, then return slowly against the band.",Anchor the band level with the chest · Press straight forward · Resist the band on the way back,horizontal_push,Chest,Triceps; Shoulders,Resistance band,https://www.youtube.com/watch?v=-2IpiFujW4I,reps,strength
chest_press_machine,Chest Press (Machine),"Sit with your back flat on the pad and the handles level with the middle of your chest. Press the handles forward until your arms are almost straight, then return until you feel a stretch across the chest.",Set the seat so the handles sit at mid chest · Stop just short of locking out · Keep the shoulder blades pinned back,horizontal_push,Chest,Triceps; Shoulders,Machine,https://www.youtube.com/watch?v=lRo9zZ7EwpM,reps x weight,strength
chest_supported_incline_row_dumbbell,Chest Supported Incline Row (Dumbbell),"Set an incline bench and lie chest-down against it with a dumbbell in each hand, neutral grip, arms hanging straight. Squeeze your shoulder blades and row both dumbbells up by driving your elbows back. Squeeze at the top, then lower under control.",Keep your chest on the bench · squeeze your shoulder blades first · Drive the elbows back and up,horizontal_pull,Upper Back,Biceps; Shoulders; Forearms,Dumbbell,https://www.youtube.com/watch?v=oZmNLzsc2i8,reps x weight,strength
chest_supported_reverse_fly_dumbbell,Chest Supported Reverse Fly (Dumbbell),"Lie chest down on an incline bench with a dumbbell in each hand hanging below you. Raise the arms out to the sides until they are level with your shoulders, then lower them under control.","Chest stays on the bench · Lead with the elbows · Stop level with the shoulders, no higher",iso_shoulder,Shoulders,Traps,Dumbbell,https://www.youtube.com/watch?v=5npsYXMCD2E,reps x weight,strength
chest_supported_y_raise_dumbbell,Chest Supported Y Raise (Dumbbell),"Lie chest down on an incline bench with light dumbbells hanging below you and thumbs pointing up. Raise the arms overhead in a Y shape until they line up with your torso, then lower slowly.","Thumbs point up throughout · Go light, this is a small muscle · Raise into a Y, not straight out to the sides",iso_shoulder,Shoulders,Traps,Dumbbell,https://www.youtube.com/watch?v=IwOfBxyeiv4,reps x weight,strength
chin_up,Chin Up,"Hang from the bar with an underhand grip about shoulder width and your shoulder blades pulled down. Pull until your chin clears the bar, then lower all the way to straight arms.","Underhand grip, hands about shoulder width · Chin clears the bar · Lower to fully straight arms",vertical_pull,Lats,Biceps; Upper Back; Forearms,Pull-up bar,https://www.youtube.com/watch?v=8mryJ3w2S78,reps,strength
chin_up_assisted,Chin Up (Assisted),"Set the assist machine or loop a band under your knee and take an underhand grip on the bar. Pull until your chin clears the bar, then lower under control to straight arms.",Use the least assistance you can manage · Chin clears the bar · Still lower to straight arms every rep,vertical_pull,Lats,Biceps; Upper Back; Forearms,Pull-up bar,https://www.youtube.com/watch?v=LnkG0XLUo5A,reps,strength
chin_up_one_arm,Chin Up (One Arm),Hang from one hand with a supinated grip and pull until the chin clears the bar. Keep the body from twisting and lower all the way down.,Chin fully over the bar · Resist the twist · Full straight arm at the bottom,vertical_pull,Lats,Biceps; Upper Back; Forearms,Pull-up bar,https://www.youtube.com/watch?v=phwSylO-c8A,reps,strength
chin_up_one_arm_half_range,"Chin Up (One Arm, Half Range)",Grip the bar with one hand in a supinated grip and pull through the top half of the range only. Lower under control and rest before the next rep.,Work the top half of the range · Supinated grip · Even work on both arms,vertical_pull,Lats,Biceps; Upper Back; Forearms,Pull-up bar,https://www.youtube.com/watch?v=ee9D5_ZSkBs,reps,strength
chin_up_one_arm_towel_assisted,"Chin Up (One Arm, Towel Assisted)",Hang a towel over the bar next to your working hand. Pull with one arm while the free hand grips the towel low and gives only light help.,Grip the towel as low as you can · Working arm does the work · Even sets on both sides,vertical_pull,Lats,Biceps; Upper Back; Forearms,Pull-up bar,https://www.youtube.com/watch?v=LP99wdTXP_Q,reps,strength
chin_up_weighted,Chin Up (Weighted),"Add load with a dip belt or a weight vest and hang from the bar with an underhand grip. Pull until your chin clears the bar, then lower to straight arms without letting the weight swing.","Record the added load only · Keep the body still, no swinging · Full range before you add more weight",vertical_pull,Lats,Biceps; Upper Back; Forearms,Pull-up bar; weight belt or vest,https://www.youtube.com/watch?v=_WVSviTSofg,reps x weight,strength
clamshell,Clamshell,"Lie on your side with your knees bent and stacked and your heels in line with your spine. Keeping the feet together, open the top knee as far as you can without rolling the hips back, then close slowly.","Hips stay stacked, do not roll back · Feet stay together · Open only as far as the hips stay still",iso_glute,Glutes,Hamstrings; Abductors,Bodyweight,https://www.youtube.com/watch?v=yHOXzfpx6bw,reps,strength
clap_push_ups,Clap Push Ups,"Set up in a push up position and lower your chest to just above the floor. Drive up hard enough to leave the ground, clap your hands, then land with soft elbows and absorb straight into the next rep.",Push hard enough to clear the floor · Land with bent elbows to absorb · Keep the body in one line throughout,horizontal_push,Chest,Triceps; Shoulders,Bodyweight,https://www.youtube.com/watch?v=xlGfa47o-4Y,reps,strength
clean,Clean,"Set up over a barbell with an overhand grip just outside your legs, hips down, back flat and chest up. Drive through the floor and extend your hips explosively, pulling the bar up your body. Shrug and drop under it to catch the bar racked on your shoulders.",Flat back off the floor · Bar brushes your thighs · Explode through the hips · Drop under to catch,power_olympic,Full Body,Quadriceps; Glutes; Hamstrings; Shoulders; Traps,Barbell; Dumbbell,https://www.youtube.com/watch?v=ambOqvor8v8,reps x weight,strength
clean_and_jerk,Clean and Jerk,"Clean the bar to the shoulders, then dip slightly and drive it overhead with the legs, splitting or squatting under to catch it locked out. Stand to finish.","Full hip extension on both the clean and the jerk · drive the jerk with the legs, not the arms · punch under a locked-out bar · recover with control, feet in line",power_olympic,Full Body,Quadriceps; Glutes; Hamstrings; Shoulders; Traps,Barbell,https://www.youtube.com/watch?v=1sxp8RyzV-A,reps x weight,strength
clean_and_press,Clean and Press,"Set up over a barbell with a overhand grip slightly wider than shoulder width, hips down and back flat. Explosively extend your hips to clean the bar to your shoulders. Brace your core and press the bar overhead until your arms lock out, then lower it back to your shoulders.",Explode hips to clean · Catch in the front rack · Brace before pressing · Lock out overhead,horizontal_push,Full Body,Triceps; Shoulders,Barbell,https://www.youtube.com/watch?v=OpNcSKG5eH8,reps x weight,strength
